year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1980,10,9.1,17,1.3,12.2,6,113.7,-4.2,10.5,46,104.2
1980,11,7.4,15.4,-1.6,9.8,5.1,41.4,-5.2,12.7,50,67.8
1980,12,6.3,12.9,-2.2,9,3.7,49.7,-6,13.6,56,48.5
1981,1,6.1,13,-2.2,8.7,3.4,32.8,-4,12,49,59.1
1981,2,4.9,12.5,-1.6,7.3,2.5,48.4,-7,10.5,52,63.7
1981,3,8.2,15.9,1.1,11.2,5.3,101.6,-2.4,11.9,52,99.9
1981,4,7.9,15.6,0.1,11,4.7,49,-4.2,9,59,161.8
1981,5,10.7,19,0.8,14.2,7.2,92.3,-2.4,8.5,41,160.9
1981,6,13.1,22.2,5.1,16.6,9.5,77.1,1.5,9.7,48,137.8
1981,7,14.8,24.7,8.3,18.3,11.2,35.5,5,8.8,35,119.8
1981,8,16,22.9,7,19.7,12.3,11.6,4.1,6.6,41,140.7
1981,9,14.4,22.7,6.9,17.8,11,102.8,1.4,8.6,42,123.4
1981,10,7.6,15.2,0,11.2,3.9,109.3,-4.8,11,56,115.3
1981,11,8.3,16,0.4,11.3,5.3,48.8,-4.1,12,47,59.6
1981,12,3.1,10.8,-6.4,5.4,0.7,133,-10.7,10.5,66,44.6
1982,1,4.9,12.9,-7.2,7.3,2.5,50.2,-10.1,11.7,46,56.3
1982,2,6.3,14.5,-1.5,9.2,3.4,23.9,-4.6,11.6,47,60.3
1982,3,6.3,15.9,-1.3,10.2,2.5,45.4,-5.8,12,58,169.4
1982,4,9,16.7,0,12.9,5,19.5,-2.8,8.2,38,177
1982,5,10.8,20.3,1,14.7,6.8,59.6,-5,8.7,49,189.6
1982,6,14.1,21,7.9,17.6,10.5,102.2,3.8,7.5,42,174.6
1982,7,15.6,22.1,9,19.4,11.8,9.2,3.1,6.7,32,203
1982,8,14.9,23.7,7,18.9,10.8,65.6,2.9,9.9,41,162.3
1982,9,13.5,21.6,5,17,9.9,84,0.7,8,43,110.6
1982,10,10.2,16.8,2.4,13.4,7.1,88.2,-0.4,9.3,50,90.8
1982,11,7.2,15.3,-1,10.1,4.3,128.9,-3.9,12,53,63.9
1982,12,5,12.7,-2.6,7.9,2.2,70.3,-5.1,11,56,59.4
1983,1,6.7,14.2,-0.7,9.5,3.9,63.8,-4.8,15.7,55,50.9
1983,2,3.6,10.2,-1.4,5.7,1.4,44.8,-8.5,11.3,51,55.1
1983,3,7.1,13.6,-0.8,10.3,4,61,-4.5,10.5,51,71.2
1983,4,6.4,13.6,-2.1,10,2.7,67.1,-6.5,9.2,41,154.8
1983,5,9.7,16.4,2.6,12.7,6.6,79.1,-0.6,9.3,42,139.9
1983,6,13.6,21.4,6.1,17.3,10,54.6,4.6,8.2,39,154.6
1983,7,17.7,27.6,9.5,21.7,13.6,18.1,6,5.7,36,201.1
1983,8,16.9,26.8,8.1,20.7,13.1,45.4,6.5,5.7,33,158.6
1983,9,13.5,21.4,5.7,16.8,10.3,76.6,2.8,10.5,59,113.7
1983,10,10.5,20,-0.6,13.7,7.3,47.3,-3.1,12.5,53,113.8
1983,11,8.6,15.6,-1.4,10.7,6.5,21.3,-6.4,8.4,39,23.4
1983,12,7.5,14.4,0.1,10,5,123.2,-4.6,13,65,48.3
1984,1,3.9,12.5,-3.9,7,0.9,99,-9.1,15.6,71,70.7
1984,2,5.7,12.9,0,8.2,3.2,60.3,-5.1,11.3,69,59.4
1984,3,5.4,12.1,0,8.1,2.7,53.2,-5.8,8.7,54,78
1984,4,8.6,18,0.5,12.3,5,32.6,-6.6,8.2,37,173.4
1984,5,10.1,18.4,2.3,14.3,5.9,34.4,-1.9,6.5,33,218.9
1984,6,14.3,24,5.7,18.2,10.5,38.1,2.3,8.3,39,179.1
1984,7,16.1,26,7.5,20.7,11.6,30.8,3.4,6.9,33,249.6
1984,8,16.7,24.7,8.9,20.6,12.9,95,5.5,5.4,39,167.1
1984,9,13.2,22.1,5.2,16.6,9.8,76.7,1.5,8.5,38,118.9
1984,10,10.9,18.8,3,14.4,7.3,56.2,-2.6,9.4,67,108.9
1984,11,7.2,15.4,-1.7,10.2,4.3,97.2,-5.9,10.2,55,60.4
1984,12,6.1,13.4,-2.2,9,3.1,87.7,-4.7,10.3,44,48
1985,1,2.9,12,-3.5,5.6,0.2,66.5,-8,9.2,48,54.1
1985,2,5,12.3,-4,7.3,2.7,52,-9,11.7,45,73.3
1985,3,5.7,14.7,-2.4,9,2.3,72.5,-5.6,11.1,44,116.4
1985,4,8.7,17.1,-0.8,12.5,4.9,40.2,-3.5,11.5,48,137.3
1985,5,10.3,18.4,1.7,13.7,6.9,70.1,-1,8.2,39,158.8
1985,6,12,19.8,3,15.9,8.1,78.5,2,7.9,35,171.5
1985,7,15.1,22.2,7.8,18.8,11.3,107.2,5.5,8.3,38,124.9
1985,8,13.5,21.4,7,16.9,10.1,124.6,3.7,10.9,56,141.2
1985,9,14.5,23.9,5.6,18.1,11,38.2,4.6,8.7,46,121.6
1985,10,11.1,20,3.8,14.1,8,19.7,-1,6.4,46,74.2
1985,11,4.8,14.4,-2.9,8.1,1.5,33.5,-8,9.5,43,95.2
1985,12,7,16.2,-5.1,9.6,4.4,72.4,-7.1,11.6,53,51.9
1986,1,4.4,13,-3.8,7.3,1.5,103.4,-6.5,14.2,53,66.6
1986,2,1.8,5.7,-4.5,3.6,-0.1,10.2,-9.3,12.8,42,65.8
1986,3,6,14.6,-5.4,9.5,2.5,64.7,-9.4,14,61,128.8
1986,4,5.9,14.4,-1.1,9.5,2.4,48.2,-4.7,10.8,45,159.5
1986,5,10.4,17.9,2.8,14,6.8,62.5,-0.5,12.5,58,174.6
1986,6,13.6,21.9,3.9,17.4,9.7,82.1,1.6,7.9,43,176.6
1986,7,14.8,25.2,7,18.1,11.4,57.5,4.8,8.2,37,93.4
1986,8,12.2,19.8,4.1,15.8,8.6,158.7,2.4,9.2,55,140.3
1986,9,11.8,21.5,2.1,15.9,7.7,3.6,-1.2,7.2,41,195.4
1986,10,10.6,20,2.5,14.3,7,57,-1.9,10,54,129.5
1986,11,7.6,14.6,-1,10.9,4.3,102.2,-3,12.9,54,87.2
1986,12,6,14.2,-2.1,9.2,2.8,71.8,-5.1,13.6,51,60.5
1987,1,3.8,11.1,-5.2,6.1,1.6,36.6,-8.4,9.5,48,44.4
1987,2,5.1,14.6,-4.2,8.2,1.9,34.5,-7.2,8.9,57,68.4
1987,3,5.3,15.3,-2.6,8.6,1.9,56.6,-5.5,11.4,60,89.3
1987,4,9.5,20.5,0.4,13.2,5.8,71.8,-4,8.9,39,115.3
1987,5,10.3,19.3,2.9,14.4,6.3,21.7,-1.4,9.6,53,189.2
1987,6,12.2,23.3,2.9,15.7,8.8,112.5,0.6,6.8,41,104.5
1987,7,15.8,24.7,7.7,19.7,11.9,32.6,3.7,8.1,37,163.1
1987,8,15.2,26.6,6.3,19.1,11.4,87.4,1.8,7.1,34,127.9
1987,9,12.9,20.2,3.4,16.6,9.2,74.8,-1,8.4,48,156.8
1987,10,9.3,15.2,0.2,12.3,6.2,124.5,-2.4,9.1,48,95.7
1987,11,7.1,14.1,-0.6,9.7,4.4,47.8,-4.8,9.8,52,50.9
1987,12,7.8,14.2,-1.1,9.8,5.8,39.5,-7.6,11.3,45,34
